%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1670366090324904575,144,1670366090324319001,,0.0,0.0,0.0,0.0,0.0,0.0
1670366090356842519,145,1670366090356231945,,0.0,0.0,0.0,0.0,0.0,0.0
1670366090404890519,146,1670366090404295853,,0.0,0.0,0.0,0.0,0.0,0.0
1670366090452838297,147,1670366090452227538,,0.0,0.0,0.0,0.0,0.0,0.0
1670366090484852186,148,1670366090484227316,,0.0,0.0,0.0,0.0,0.0,0.0
1670366090532852927,149,1670366090532232704,,0.0,0.0,0.0,0.0,0.0,0.0
1670366090637126945,150,1670366090636559316,,0.0,0.0,0.0,0.0,0.0,0.0
1670366090741138908,151,1670366090740553167,,0.0,0.0,0.0,0.0,0.0,0.0
1670366090845323556,152,1670366090844614075,,0.0,0.0,0.0,0.0,0.0,0.0
1670366090949197019,153,1670366090948568019,,0.0,0.0,0.0,0.0,0.0,0.0
1670366091053189315,154,1670366091052572908,,0.0,0.0,0.0,0.0,0.0,0.0
1670366091157190797,155,1670366091156603815,,0.0,0.0,0.0,0.0,0.0,0.0
1670366091261132074,156,1670366091260552852,,0.0,0.0,0.0,0.0,0.0,0.0
1670366091365123889,157,1670366091364556723,,0.0,0.0,0.0,0.0,0.0,0.0
1670366091469168593,158,1670366091468595130,,0.0,0.0,0.0,0.0,0.0,0.0
1670366091573156963,159,1670366091572569074,,0.0,0.0,0.0,0.0,0.0,0.0
1670366091677128093,160,1670366091676551148,,0.0,0.0,0.0,0.0,0.0,0.0
1670366091781123407,161,1670366091780559370,,0.0,0.0,0.0,0.0,0.0,0.0
1670366091885258389,162,1670366091884562185,,0.0,0.0,0.0,0.0,0.0,0.0
1670366091989186685,163,1670366091988565648,,0.0,0.0,0.0,0.0,0.0,0.0
1670366092093233055,164,1670366092092601389,,0.0,0.0,0.0,0.0,0.0,0.0
1670366092197182833,165,1670366092196563111,,0.0,0.0,0.0,0.0,0.0,0.0
1670366092301241407,166,1670366092300592129,,0.0,0.0,0.0,0.0,0.0,0.0
1670366092405134518,167,1670366092404563092,,0.0,0.0,0.0,0.0,0.0,0.0
1670366092509130259,168,1670366092508560481,,0.0,0.0,0.0,0.0,0.0,0.0
1670366092613119963,169,1670366092612557759,,0.0,0.0,0.0,0.0,0.0,0.0
1670366092717179777,170,1670366092716574351,,0.0,0.0,0.0,0.0,0.0,0.0
1670366092821155796,171,1670366092820571073,,0.0,0.0,0.0,0.0,0.0,0.0
1670366092925173222,172,1670366092924571129,,0.0,0.0,0.0,0.0,0.0,0.0
1670366093029181129,173,1670366093028580647,,0.0,0.0,0.0,0.0,0.0,0.0
1670366093133178203,174,1670366093132564333,,0.0,0.0,0.0,0.0,0.0,0.0
1670366093237161999,175,1670366093236557240,,0.0,0.0,0.0,0.0,0.0,0.0
1670366093341140203,176,1670366093340550166,,0.0,0.0,0.0,0.0,0.0,0.0
1670366093445150869,177,1670366093444590703,,0.0,0.0,0.0,0.0,0.0,0.0
1670366093549152721,178,1670366093548550999,,0.0,0.0,0.0,0.0,0.0,0.0
1670366093653124666,179,1670366093652546869,,0.0,0.0,0.0,0.0,0.0,0.0
1670366093757173054,180,1670366093756562888,,0.0,0.0,0.0,0.0,0.0,0.0
1670366093861189443,181,1670366093860596443,,0.0,0.0,0.0,0.0,0.0,0.0
1670366093965202573,182,1670366093964581610,,0.0,0.0,0.0,0.0,0.0,0.0
1670366094069219962,183,1670366094068618591,,0.0,0.0,0.0,0.0,0.0,0.0
1670366094173149925,184,1670366094172554684,,0.0,0.0,0.0,0.0,0.0,0.0
1670366094277300869,185,1670366094276686054,,0.0,0.0,0.0,0.0,0.0,0.0
1670366094381134443,186,1670366094380558036,,0.0,0.0,0.0,0.0,0.0,0.0
1670366094485158258,187,1670366094484554943,,0.0,0.0,0.0,0.0,0.0,0.0
1670366094589142887,188,1670366094588550961,,0.0,0.0,0.0,0.0,0.0,0.0
1670366094693142146,189,1670366094692550850,,0.0,0.0,0.0,0.0,0.0,0.0
1670366094797156350,190,1670366094796598276,,0.0,0.0,0.0,0.0,0.0,0.0
1670366094900122628,191,1670366094899543054,,0.43376988915314485,0.0,0.0,0.0,0.0,0.0
1670366094948099646,192,1670366094947515202,,0.5123462063386838,0.0,0.0,0.0,0.0,0.0
1670366094980013517,193,1670366094979436109,,0.07857631718553892,0.0,0.0,0.0,0.0,0.0
1670366094995991072,194,1670366094995435609,,0.0,0.0,0.0,0.0,0.0,0.0
1670366095028008757,195,1670366095027486831,,0.2441642712270273,0.0,0.0,0.0,0.0,0.0
1670366095076125702,196,1670366095075545850,,0.33472390226668847,0.0,0.0,0.0,0.0,0.0
1670366095108053202,197,1670366095107494072,,0.22672549395732397,0.0,0.0,0.0,0.0,0.0
1670366095155947980,198,1670366095155426572,,0.23294842872318483,0.0,0.0,0.0,0.0,0.0
1670366095187944424,199,1670366095187382572,,0.09678256580552205,0.0,0.0,0.0,0.0,0.0
1670366095203819109,200,1670366095203332128,,0.0,0.0,0.0,0.0,0.0,0.0
1670366095236085535,201,1670366095235479331,,0.29806017021945386,0.0,0.0,0.0,0.0,0.0
1670366095284038683,202,1670366095283467276,,0.40078078722657073,0.0,0.0,0.0,0.0,0.0
1670366095316026776,203,1670366095315472646,,0.25678178341514524,0.0,0.0,0.0,0.0,0.0
1670366095363905350,204,1670366095363406831,,0.2689696039865327,0.0,0.0,0.0,0.0,0.0
1670366095395886405,205,1670366095395334535,,0.11490843757850427,0.0,0.0,0.0,0.0,0.0
1670366095411769109,206,1670366095411313702,,0.0,0.0,0.0,0.0,0.0,0.0
1670366095443969887,207,1670366095443401202,,0.34368207250144855,0.0,0.0,0.0,0.0,0.0
1670366095492085609,208,1670366095491461405,,0.46442978313005967,0.0,0.0,0.0,0.0,0.0
1670366095523998887,209,1670366095523439276,,0.30207578369707166,0.0,0.0,0.0,0.0,0.0
1670366095571987924,210,1670366095571422868,,0.3082485634875682,0.0,0.0,0.0,0.0,0.0
1670366095620001461,211,1670366095619435646,,0.2537791917188805,0.0,0.0,0.0,0.0,0.0
1670366095651969072,212,1670366095651420238,,0.3263359770392432,0.0,0.0,0.0,0.0,0.0
1670366095699967461,213,1670366095699399831,,0.3384982032454129,0.0,0.0,0.0,0.0,0.0
1670366095731990775,214,1670366095731415109,,0.3474145280915194,0.0,0.0,0.0,0.0,0.0
1670366095779922350,215,1670366095779387905,,0.34742182166779567,0.0,0.0,0.0,0.0,0.0
1670366095827937849,216,1670366095827373294,,0.28406716706085866,0.0,0.0,0.0,0.0,0.0
1670366095859697609,217,1670366095859256516,,0.37213633128897877,0.0,0.0,0.0,0.0,0.0
1670366095907972109,218,1670366095907372072,,0.3779481597501256,0.0,0.0,0.0,0.0,0.0
1670366095939964294,219,1670366095939381701,,0.3864232859395678,0.0,0.0,0.0,0.0,0.0
1670366095987797238,220,1670366095987297553,,0.39284138606431673,0.0,0.0,0.0,0.0,0.0
1670366096035997979,221,1670366096035372164,,0.3202693591735115,0.0,0.0,0.0,0.0,0.0
1670366096067882516,222,1670366096067335664,,0.4078724880112896,0.0,0.0,0.0,0.0,0.0
1670366096115893997,223,1670366096115332053,,0.4140607985534792,0.0,0.0,0.0,0.0,0.0
